20:54:42.118 [main] INFO  c.c.m.MamabuyUserServerApplication - The following profiles are active: dev
20:56:18.848 [main] INFO  c.c.m.MamabuyUserServerApplication - The following profiles are active: dev
20:56:19.820 [main] INFO  c.c.m.MamabuyUserServerApplication - Started MamabuyUserServerApplication in 1.121 seconds (JVM running for 110.526)
20:56:34.740 [main] INFO  c.c.m.MamabuyUserServerApplication - The following profiles are active: dev
20:56:45.469 [main] INFO  c.c.m.MamabuyUserServerApplication - The following profiles are active: dev
20:56:45.969 [main] INFO  c.c.m.MamabuyUserServerApplication - Started MamabuyUserServerApplication in 0.639 seconds (JVM running for 17.125)
20:58:15.720 [main] INFO  c.c.m.MamabuyUserServerApplication - The following profiles are active: dev
20:58:25.671 [main] INFO  c.c.m.MamabuyUserServerApplication - The following profiles are active: dev
20:58:26.259 [main] INFO  c.c.m.MamabuyUserServerApplication - Started MamabuyUserServerApplication in 0.755 seconds (JVM running for 16.293)
21:47:03.036 [main] INFO  c.c.m.MamabuyUserServerApplication - The following profiles are active: dev
21:47:15.723 [main] INFO  c.c.m.MamabuyUserServerApplication - The following profiles are active: dev
21:47:15.896 [main] INFO  c.c.m.MamabuyUserServerApplication - Started MamabuyUserServerApplication in 0.312 seconds (JVM running for 20.27)
21:49:26.166 [main] INFO  c.c.m.MamabuyUserServerApplication - The following profiles are active: dev
21:49:37.446 [main] INFO  c.c.m.MamabuyUserServerApplication - The following profiles are active: dev
21:49:37.587 [main] INFO  c.c.m.MamabuyUserServerApplication - Started MamabuyUserServerApplication in 0.285 seconds (JVM running for 19.854)
